method,exp_name,energy_cost,batt_deg_cost,total_cost
no_v2g,"med_home1907_8kwpv_1_10,3,22",4.0790314033333335,0.0,4.0790314033333335
rulebased,"med_home1907_8kwpv_1_10,3,22",4.478362847777778,0.03432388639862333,4.512686734176402
nsga,"med_home1907_8kwpv_1_10,3,22",5.086026834008934,0.0026581556951187114,5.088684989704053
