method,exp_name,energy_cost,batt_deg_cost,total_cost
no_v2g,"med_home1907_8kwpv_1_3,2,19",5.718380339333335,0.0,5.718380339333335
rulebased,"med_home1907_8kwpv_1_3,2,19",6.159493485777777,0.03432388639862333,6.193817372176401
nsga,"med_home1907_8kwpv_1_3,2,19",6.725375770008935,0.0026581556951187114,6.728033925704054
