method,exp_name,energy_cost,batt_deg_cost,total_cost
no_v2g,"med_home1907_8kwpv_1_5,7,14",7.7064925187833335,0.0,7.7064925187833335
rulebased,"med_home1907_8kwpv_1_5,7,14",8.516789630137781,0.03432388639862333,8.551113516536404
nsga,"med_home1907_8kwpv_1_5,7,14",8.18918553603686,0.0026906328085580453,8.191876168845418
