"PVWatts Hourly PV Performance Data"
"Requested Location","300 alumni drive"
"Location","Lat, Lng: 38.01, -84.5"
"Latitude (DD)","38.01"
"Longitude (DD)","-84.50"
"Elevation (m)","302.79998779297"
"DC System Size (kW)","8"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","3","4","0","0","1","1.5","0.14","0","1","0","0"
"1","3","5","0","0","1","1.7","0.14","0","1","0","0"
"1","3","6","0","0","2","2.3","0.14","0","2","0","0"
"1","3","7","0","0","3","2.7","0.14","0","3","0","0"
"1","3","8","0","16","4","3","0.14","14.824","4.292","87.458","52.65"
"1","3","9","0","63","6","3.3","0.14","59.54","7.149","409.416","363.201"
"1","3","10","0","103","7","3.7","0.14","98.416","8.784","685.177","629.19"
"1","3","11","14","167","9","4.5","0.14","173.949","11.812","1215.778","1140.989"
"1","3","12","44","202","10","5","0.14","244.395","13.702","1712.288","1619.907"
"1","3","13","0","123","11","4.9","0.14","117.137","12.795","802.187","742.054"
"1","3","14","0","78","10","4.2","0.14","72.591","11.223","493.573","444.375"
"1","3","15","0","47","10","4","0.14","43.617","10.757","292.379","250.311"
"1","3","16","0","9","10","4.1","0.14","8.327","10.142","50.887","17.376"
"1","3","17","0","0","10","3.8","0.14","0","0","0","0"
"1","3","18","0","0","10","4","0.14","0","10","0","0"
"1","3","19","0","0","11","3.8","0.14","0","11","0","0"
"1","3","20","0","0","10","3.1","0.14","0","10","0","0"
"1","3","21","0","0","10","3.2","0.14","0","10","0","0"
"1","3","22","0","0","11","3.6","0.14","0","11","0","0"
"1","3","23","0","0","11","3.4","0.14","0","11","0","0"
"1","4","0","0","0","10","2.6","0.14","0","10","0","0"
"1","4","1","0","0","10","2.5","0.14","0","10","0","0"
"1","4","2","0","0","11","3.6","0.14","0","11","0","0"
"1","4","3","0","0","13","5.9","0.14","0","13","0","0"
"1","4","4","0","0","13","7.2","0.14","0","13","0","0"
"1","4","5","0","0","12","6.5","0.14","0","12","0","0"
"1","4","6","0","0","11","6","0.14","0","11","0","0"
"1","4","7","0","0","9","5.8","0.14","0","9","0","0"
"1","4","8","327","32","8","5.6","0.14","123.484","9.649","719.27","662.074"
"1","4","9","328","85","8","5.4","0.14","260.13","11.763","1860.17","1762.548"
"1","4","10","24","142","8","5.5","0.14","155.004","10.213","1092.967","1022.53"
"1","4","11","0","75","8","5.8","0.14","69.707","8.959","476.125","427.546"
"1","4","12","0","91","7","6.1","0.14","84.932","8.129","584.863","532.431"
"1","4","13","0","73","7","6.3","0.14","67.846","7.882","464.211","416.053"
"1","4","14","0","25","6","6.3","0.14","23.181","6.302","153.517","116.369"
"1","4","15","0","55","4","6.1","0.14","51.066","4.68","353.298","309.071"
"1","4","16","283","68","3","5.7","0.14","190.705","5.629","1319.252","1240.797"
"1","4","17","0","0","1","5.2","0.14","0","0","0","0"
"1","4","18","0","0","0","4.9","0.14","0","0","0","0"
"1","4","19","0","0","0","5","0.14","0","0","0","0"
"1","4","20","0","0","-1","5.1","0.14","0","-1","0","0"
"1","4","21","0","0","-2","4.9","0.14","0","-2","0","0"
"1","4","22","0","0","-3","4.6","0.14","0","-3","0","0"
"1","4","23","0","0","-4","4.5","0.14","0","-4","0","0"
"1","5","0","0","0","-5","4.4","0.14","0","-5","0","0"
"1","5","1","0","0","-6","4.3","0.14","0","-6","0","0"
"1","5","2","0","0","-6","4.1","0.14","0","-6","0","0"
"1","5","3","0","0","-7","4.1","0.14","0","-7","0","0"
"1","5","4","0","0","-7","4","0.14","0","-7","0","0"
"1","5","5","0","0","-8","3.8","0.14","0","-8","0","0"
"1","5","6","0","0","-8","3.5","0.14","0","-8","0","0"
"1","5","7","0","0","-8","3.5","0.14","0","-8","0","0"
"1","5","8","497","25","-7","3.7","0.14","153.312","-4.382","931.94","867.209"
"1","5","9","766","46","-6","3.9","0.14","420.82","1.427","3161.785","3018.042"
"1","5","10","871","58","-5","3.8","0.14","611.201","5.986","4593.162","4398.699"
"1","5","11","919","65","-4","3.7","0.14","740.592","9.494","5467.614","5242.166"
"1","5","12","935","68","-3","3.5","0.14","795.813","11.941","5806.97","5569.498"
"1","5","13","932","63","-3","3.4","0.14","772.062","11.728","5645.83","5414.068"
"1","5","14","559","119","-3","3.2","0.14","523.842","7.317","3889.069","3719.556"
"1","5","15","296","114","-3","2.8","0.14","291.681","3.145","2179.14","2070.216"
"1","5","16","299","57","-4","1.9","0.14","184.641","0.542","1299.878","1222.109"
"1","5","17","0","0","-5","1.2","0.14","0","0","0","0"
"1","5","18","0","0","-5","1","0.14","0","-5","0","0"
"1","5","19","0","0","-5","1","0.14","0","-5","0","0"
"1","5","20","0","0","-4","1.4","0.14","0","-4","0","0"
"1","5","21","0","0","-4","1.8","0.14","0","-4","0","0"
"1","5","22","0","0","-4","2","0.14","0","-4","0","0"
"1","5","23","0","0","-4","1.9","0.14","0","-4","0","0"
"1","6","0","0","0","-3","1.9","0.14","0","-3","0","0"
"1","6","1","0","0","-3","1.8","0.14","0","-3","0","0"
"1","6","2","0","0","-3","1.6","0.14","0","-3","0","0"
"1","6","3","0","0","-3","1.5","0.14","0","-3","0","0"
"1","6","4","0","0","-3","1.6","0.14","0","-3","0","0"
"1","6","5","0","0","-3","1.9","0.14","0","-3","0","0"
"1","6","6","0","0","-3","2.2","0.14","0","-3","0","0"
"1","6","7","0","0","-3","2.7","0.14","0","-3","0","0"
"1","6","8","0","6","-2","3.7","0.14","5.549","-1.902","32.297","0"
"1","6","9","0","40","-1","4.3","0.14","37.108","-0.383","258.327","217.465"
"1","6","10","0","114","0","4.3","0.14","109.867","1.827","788.643","728.99"
"1","6","11","148","203","0","3.9","0.14","329.626","5.807","2412.037","2294.86"
"1","6","12","37","200","0","3.8","0.14","236.486","4.219","1713.133","1620.721"
"1","6","13","92","217","0","3.8","0.14","297.609","5.315","2167.844","2059.32"
"1","6","14","0","124","0","3.6","0.14","119.226","2.193","854.654","792.662"
"1","6","15","0","82","-1","3.3","0.14","77.889","0.503","556.516","505.087"
"1","6","16","0","9","-1","2.6","0.14","8.327","-0.82","53.746","20.133"
"1","6","17","0","0","-2","2.2","0.14","0","0","0","0"
"1","6","18","0","0","-2","2.4","0.14","0","-2","0","0"
"1","6","19","0","0","-2","2.4","0.14","0","-2","0","0"
"1","6","20","0","0","-3","2.6","0.14","0","-3","0","0"
"1","6","21","0","0","-4","3","0.14","0","-4","0","0"
"1","6","22","0","0","-4","3.4","0.14","0","-4","0","0"
"1","6","23","0","0","-5","3.7","0.14","0","-5","0","0"
"1","7","0","0","0","-6","3.8","0.14","0","-6","0","0"
"1","7","1","0","0","-6","3.7","0.14","0","-6","0","0"
"1","7","2","0","0","-7","3.8","0.14","0","-7","0","0"
"1","7","3","0","0","-7","4","0.14","0","-7","0","0"
"1","7","4","0","0","-7","4.1","0.14","0","-7","0","0"
"1","7","5","0","0","-7","4.3","0.14","0","-7","0","0"
"1","7","6","0","0","-8","4.5","0.14","0","-8","0","0"
"1","7","7","0","0","-8","4.7","0.14","0","-8","0","0"
"1","7","8","67","33","-8","5.1","0.14","54.771","-7.212","345.546","301.593"
"1","7","9","96","98","-9","5.4","0.14","153.603","-6.78","1154.231","1081.624"
"1","7","10","400","131","-9","5.6","0.14","406.532","-3.244","3121.003","2978.705"
"1","7","11","410","170","-10","5.6","0.14","499.277","-2.942","3814.232","3647.37"
"1","7","12","39","202","-10","5.6","0.14","240.232","-6.618","1808.915","1713.109"
"1","7","13","282","205","-10","5.5","0.14","445.542","-3.635","3391.669","3239.78"
"1","7","14","407","151","-11","5.3","0.14","456.239","-4.31","3509.225","3353.171"
"1","7","15","236","123","-11","5.1","0.14","270.8","-6.929","2087.924","1982.232"
"1","7","16","32","62","-11","4.8","0.14","77.031","-9.808","559.259","507.733"
"1","7","17","0","0","-12","4.5","0.14","0","0","0","0"
"1","7","18","0","0","-12","4.3","0.14","0","-12","0","0"
"1","7","19","0","0","-13","4","0.14","0","-13","0","0"
"1","7","20","0","0","-13","3.4","0.14","0","-13","0","0"
"1","7","21","0","0","-14","2.7","0.14","0","-14","0","0"
"1","7","22","0","0","-14","2.3","0.14","0","-14","0","0"
"1","7","23","0","0","-15","2.2","0.14","0","-15","0","0"
"1","8","0","0","0","-15","2.3","0.14","0","-15","0","0"
"1","8","1","0","0","-16","2.4","0.14","0","-16","0","0"
"1","8","2","0","0","-16","2.4","0.14","0","-16","0","0"
"1","8","3","0","0","-16","2.3","0.14","0","-16","0","0"
"1","8","4","0","0","-16","2","0.14","0","-16","0","0"
"1","8","5","0","0","-16","1.8","0.14","0","-16","0","0"
"1","8","6","0","0","-17","1.7","0.14","0","-17","0","0"
"1","8","7","0","0","-16","1.8","0.14","0","-16","0","0"
"1","8","8","470","29","-15","2","0.14","151.124","-11.525","947.11","881.841"
"1","8","9","760","53","-14","2.5","0.14","425.362","-4.561","3261.733","3114.448"
"1","8","10","377","135","-13","2.8","0.14","396.868","-4.641","3058.436","2918.355"
"1","8","11","464","159","-11","3","0.14","526.181","-0.303","3989.715","3816.635"
"1","8","12","457","179","-9","3.2","0.14","564.763","2.098","4235.407","4053.621"
"1","8","13","340","196","-8","3.5","0.14","478.804","0.967","3595.876","3436.751"
"1","8","14","639","103","-7","3.8","0.14","563.902","3.12","4253.225","4070.808"
"1","8","15","310","117","-6","3.7","0.14","304.458","-0.455","2305.954","2192.536"
"1","8","16","496","47","-6","3.4","0.14","250.471","-1.295","1790.216","1695.073"
"1","8","17","0","0","-6","3.4","0.14","0","0","0","0"
"1","8","18","0","0","-6","3.8","0.14","0","-6","0","0"
"1","8","19","0","0","-5","4.2","0.13","0","-5","0","0"
"1","8","20","0","0","-5","4.8","0.13","0","-5","0","0"
"1","8","21","0","0","-5","5.3","0.13","0","-5","0","0"
"1","8","22","0","0","-5","5.6","0.13","0","-5","0","0"
"1","8","23","0","0","-5","5.8","0.13","0","-5","0","0"
"1","9","0","0","0","-5","6","0.13","0","-5","0","0"
"1","9","1","0","0","-5","6","0.13","0","-5","0","0"
"1","9","2","0","0","-5","5.7","0.13","0","-5","0","0"
"1","9","3","0","0","-4","5.4","0.13","0","-4","0","0"
"1","9","4","0","0","-4","5.1","0.13","0","-4","0","0"
"1","9","5","0","0","-4","4.8","0.13","0","-4","0","0"
"1","9","6","0","0","-5","4.6","0.13","0","-5","0","0"
"1","9","7","0","0","-5","4.7","0.13","0","-5","0","0"
"1","9","8","0","5","-6","5","0.13","4.622","-5.932","27.338","0"
"1","9","9","0","18","-6","5","0.13","16.666","-5.747","114.993","79.21"
"1","9","10","916","59","-5","5","0.13","641.263","4.785","4838.685","4635.523"
"1","9","11","969","63","-4","5.1","0.13","777.06","7.693","5769.745","5533.591"
"1","9","12","989","65","-4","5.4","0.13","838.184","8.151","6192.355","5941.226"
"1","9","13","983","64","-4","5.5","0.13","817.728","7.717","6057.526","5811.175"
"1","9","14","950","61","-5","5.4","0.13","719.462","5.444","5399.735","5176.693"
"1","9","15","878","53","-5","4.9","0.13","549.663","3.498","4173.166","3993.586"
"1","9","16","696","40","-7","3.9","0.13","316.708","-1.487","2274.951","2162.632"
"1","9","17","0","0","-8","2.8","0.13","0","0","0","0"
"1","9","18","0","0","-8","2.4","0.13","0","-8","0","0"
"1","9","19","0","0","-9","2.4","0.13","0","-9","0","0"
"1","9","20","0","0","-10","2.2","0.13","0","-10","0","0"
"1","9","21","0","0","-10","1.9","0.13","0","-10","0","0"
"1","9","22","0","0","-11","1.8","0.13","0","-11","0","0"
"1","9","23","0","0","-11","1.8","0.13","0","-11","0","0"
"1","10","0","0","0","-11","1.7","0.13","0","-11","0","0"
"1","10","1","0","0","-12","1.4","0.13","0","-12","0","0"
"1","10","2","0","0","-12","1.2","0.13","0","-12","0","0"
"1","10","3","0","0","-13","0.9","0.13","0","-13","0","0"
"1","10","4","0","0","-13","0.7","0.13","0","-13","0","0"
"1","10","5","0","0","-13","0.7","0.13","0","-13","0","0"
"1","10","6","0","0","-13","0.6","0.13","0","-13","0","0"
"1","10","7","0","0","-12","0.7","0.13","0","-12","0","0"
"1","10","8","562","26","-11","0.9","0.13","171.664","-5.928","1055.528","986.418"
"1","10","9","830","45","-10","1.2","0.13","446.379","3.017","3339.251","3189.22"
"1","10","10","938","53","-8","1.5","0.13","648.098","9.683","4808.943","4606.834"
"1","10","11","981","60","-6","1.7","0.13","783.078","14.416","5678.53","5445.608"
"1","10","12","995","62","-4","2","0.13","840.619","16.571","6028.384","5783.065"
"1","10","13","985","62","-3","2.2","0.13","818.654","16.259","5884.118","5643.912"
"1","10","14","945","61","-2","2.3","0.13","718.132","14.589","5218.918","5002.283"
"1","10","15","859","55","-2","1.9","0.13","543.689","11.614","4011.091","3837.253"
"1","10","16","687","41","-3","1.1","0.13","316.092","6.322","2213.783","2103.632"
"1","10","17","0","0","-4","0.7","0.13","0","0","0","0"
"1","10","18","0","0","-4","0.7","0.13","0","-4","0","0"
"1","10","19","0","0","-5","0.8","0.13","0","-5","0","0"
"1","10","20","0","0","-5","0.9","0.13","0","-5","0","0"
"1","10","21","0","0","-6","1","0.13","0","-6","0","0"
"1","10","22","0","0","-7","1.2","0.13","0","-7","0","0"
"1","10","23","0","0","-7","1.4","0.13","0","-7","0","0"
"1","11","0","0","0","-7","1.6","0.13","0","-7","0","0"
"1","11","1","0","0","-7","1.7","0.13","0","-7","0","0"
"1","11","2","0","0","-7","1.7","0.13","0","-7","0","0"
"1","11","3","0","0","-7","1.7","0.13","0","-7","0","0"
"1","11","4","0","0","-7","1.7","0.13","0","-7","0","0"
"1","11","5","0","0","-6","1.7","0.13","0","-6","0","0"
"1","11","6","0","0","-6","1.7","0.13","0","-6","0","0"
"1","11","7","0","0","-5","1.9","0.13","0","-5","0","0"
"1","11","8","0","20","-3","2.4","0.13","18.538","-2.593","115.026","79.242"
"1","11","9","0","62","-1","2.6","0.13","58.339","0.268","412.25","365.934"
"1","11","10","155","161","0","2.7","0.13","272.732","5.836","1999.396","1896.841"
"1","11","11","58","196","2","2.9","0.13","246.651","7.083","1776.46","1681.805"
"1","11","12","49","211","3","2.9","0.13","257.858","8.309","1844.364","1747.302"
"1","11","13","60","210","4","2.5","0.13","264.909","9.857","1888.263","1789.646"
"1","11","14","0","66","3","1.6","0.13","61.299","4.624","424.755","377.996"
"1","11","15","0","101","2","0.9","0.13","97.444","5.056","689.423","633.285"
"1","11","16","0","61","1","0.9","0.13","59.782","2.868","413.595","367.231"
"1","11","17","0","0","1","1","0.13","0","0","0","0"
"1","11","18","0","0","1","1.1","0.13","0","1","0","0"
"1","11","19","0","0","1","1.1","0.13","0","1","0","0"
"1","11","20","0","0","0","1.2","0.13","0","0","0","0"
"1","11","21","0","0","0","1.3","0.13","0","0","0","0"
"1","11","22","0","0","0","1.5","0.13","0","0","0","0"
"1","11","23","0","0","0","1.8","0.13","0","0","0","0"
"1","12","0","0","0","1","1.7","0.13","0","1","0","0"
"1","12","1","0","0","1","1.5","0.13","0","1","0","0"
"1","12","2","0","0","1","1.4","0.13","0","1","0","0"
"1","12","3","0","0","1","1.3","0.13","0","1","0","0"
"1","12","4","0","0","1","1.2","0.13","0","1","0","0"
"1","12","5","0","0","1","1","0.13","0","1","0","0"
"1","12","6","0","0","1","1","0.13","0","1","0","0"
"1","12","7","0","0","1","0.9","0.13","0","1","0","0"
"1","12","8","0","2","2","0.8","0.13","1.848","2.058","10.156","0"
"1","12","9","0","54","3","1","0.13","50.145","4.532","346.379","302.397"
"1","12","10","0","19","3","1.4","0.13","17.605","3.488","116.898","81.047"
"1","12","11","0","138","3","1.8","0.13","132.582","6.362","935.517","870.66"
"1","12","12","0","57","2","2","0.13","52.935","3.287","364.662","320.032"
"1","12","13","0","118","1","2.1","0.13","111.709","3.662","790.211","730.502"
"1","12","14","0","98","1","2.2","0.13","92.254","3.158","652.492","597.663"
"1","12","15","13","121","1","2.3","0.13","126.196","3.902","906.092","842.277"
"1","12","16","0","28","0","2.5","0.13","25.95","0.573","175.544","137.615"
"1","12","17","0","0","0","3.1","0.13","0","0","0","0"
"1","12","18","0","0","0","3.4","0.13","0","0","0","0"
"1","12","19","0","0","0","3.3","0.13","0","0","0","0"
"1","12","20","0","0","-1","3.2","0.13","0","-1","0","0"
"1","12","21","0","0","-1","3.2","0.13","0","-1","0","0"
"1","12","22","0","0","-2","3.2","0.13","0","-2","0","0"
"1","12","23","0","0","-2","3.4","0.13","0","-2","0","0"
"1","13","0","0","0","-2","3.6","0.13","0","-2","0","0"
"1","13","1","0","0","-3","3.8","0.13","0","-3","0","0"
"1","13","2","0","0","-3","3.8","0.13","0","-3","0","0"
"1","13","3","0","0","-4","3.6","0.13","0","-4","0","0"
"1","13","4","0","0","-4","3.4","0.13","0","-4","0","0"
"1","13","5","0","0","-4","3.3","0.13","0","-4","0","0"
"1","13","6","0","0","-4","3.3","0.13","0","-4","0","0"
"1","13","7","0","0","-4","3.5","0.13","0","-4","0","0"
"1","13","8","0","8","-3","4","0.13","7.399","-2.875","44.515","11.229"
"1","13","9","18","94","-2","4.3","0.13","101.187","-0.317","731.61","673.977"
"1","13","10","0","128","-2","4.1","0.13","124.301","0.125","901.198","837.557"
"1","13","11","0","143","-1","3.9","0.13","137.721","1.42","991.074","924.247"
"1","13","12","71","222","-1","3.6","0.13","287.412","4.285","2093.076","1987.202"
"1","13","13","89","220","-1","3.3","0.13","298.382","4.753","2175.04","2066.261"
"1","13","14","111","191","-1","2.9","0.13","285.449","4.89","2089.408","1983.663"
"1","13","15","73","135","-1","2.5","0.13","181.788","3.031","1330.331","1251.484"
"1","13","16","0","30","-1","1.9","0.13","27.808","-0.31","189.496","151.073"
"1","13","17","0","0","-2","1.8","0.13","0","0","0","0"
"1","13","18","0","0","-2","2","0.13","0","-2","0","0"
"1","13","19","0","0","-3","2.1","0.13","0","-3","0","0"
"1","13","20","0","0","-3","2.1","0.13","0","-3","0","0"
"1","13","21","0","0","-3","1.9","0.13","0","-3","0","0"
"1","13","22","0","0","-3","1.5","0.13","0","-3","0","0"
"1","13","23","0","0","-3","1","0.13","0","-3","0","0"
"1","14","0","0","0","-4","0.7","0.13","0","-4","0","0"
"1","14","1","0","0","-4","0.7","0.13","0","-4","0","0"
"1","14","2","0","0","-4","0.7","0.13","0","-4","0","0"
"1","14","3","0","0","-4","0.6","0.13","0","-4","0","0"
"1","14","4","0","0","-4","0.6","0.13","0","-4","0","0"
"1","14","5","0","0","-4","0.6","0.13","0","-4","0","0"
"1","14","6","0","0","-4","0.7","0.13","0","-4","0","0"
"1","14","7","0","0","-4","1.2","0.13","0","-4","0","0"
"1","14","8","0","14","-3","1.8","0.13","12.962","-2.679","80.047","45.502"
"1","14","9","0","50","-2","2.2","0.13","46.405","-0.913","326.743","283.457"
"1","14","10","0","82","-1","2.3","0.13","76.734","0.763","545.95","494.897"
"1","14","11","0","116","0","2.2","0.13","109.941","2.57","781.88","722.467"
"1","14","12","4","170","0","2.1","0.13","168.065","4.005","1202.034","1127.732"
"1","14","13","35","202","0","2.1","0.13","236.318","5.636","1702.044","1610.025"
"1","14","14","320","176","0","2","0.13","420.986","10.287","3064.784","2924.478"
"1","14","15","332","123","0","1.8","0.13","327.388","8.353","2406.677","2289.691"
"1","14","16","608","48","-2","1.2","0.13","302.441","6.727","2133.725","2026.411"
"1","14","17","148","11","-3","0.8","0.13","38.03","-2.036","146.574","109.671"
"1","14","18","0","0","-3","0.8","0.13","0","-3","0","0"
"1","14","19","0","0","-4","0.9","0.87","0","-4","0","0"
"1","14","20","0","0","-4","0.9","0.87","0","-4","0","0"
"1","14","21","0","0","-4","0.8","0.87","0","-4","0","0"
"1","14","22","0","0","-4","0.7","0.87","0","-4","0","0"
"1","14","23","0","0","-4","0.6","0.87","0","-4","0","0"
"1","15","0","0","0","-4","0.5","0.87","0","-4","0","0"
"1","15","1","0","0","-4","0.5","0.87","0","-4","0","0"
"1","15","2","0","0","-4","0.7","0.87","0","-4","0","0"
"1","15","3","0","0","-4","0.8","0.87","0","-4","0","0"
"1","15","4","0","0","-5","0.9","0.87","0","-5","0","0"
"1","15","5","0","0","-5","1","0.87","0","-5","0","0"
"1","15","6","0","0","-6","1","0.87","0","-6","0","0"
"1","15","7","0","0","-5","1.4","0.87","0","-5","0","0"
"1","15","8","0","18","-3","2.1","0.87","16.994","-2.604","105.801","70.344"
"1","15","9","482","72","-1","2.5","0.87","321.918","6.138","2361.356","2245.976"
"1","15","10","7","139","0","2.7","0.87","142.773","3.043","1023.199","955.234"
"1","15","11","101","210","0","2.8","0.87","298.173","6.246","2156.641","2048.514"
"1","15","12","15","188","0","2.9","0.87","198.997","4.087","1423.047","1340.914"
"1","15","13","438","187","0","3","0.87","563.974","11.441","4074.987","3898.886"
"1","15","14","314","179","0","3.1","0.87","425.94","8.503","3107.649","2965.824"
"1","15","15","359","121","0","2.8","0.87","352.726","7.425","2596.956","2473.227"
"1","15","16","268","67","-1","2","0.87","191.77","3.644","1359.311","1279.436"
"1","15","17","133","13","-2","1.5","0.87","37.44","-1.19","146.894","109.98"
"1","15","18","0","0","-3","1.6","0.87","0","-3","0","0"
"1","15","19","0","0","-3","1.8","0.13","0","-3","0","0"
"1","15","20","0","0","-3","1.8","0.13","0","-3","0","0"
"1","15","21","0","0","-4","1.7","0.13","0","-4","0","0"
"1","15","22","0","0","-4","1.8","0.13","0","-4","0","0"
"1","15","23","0","0","-4","2.3","0.13","0","-4","0","0"
"1","16","0","0","0","-4","2.7","0.13","0","-4","0","0"
"1","16","1","0","0","-4","2.7","0.13","0","-4","0","0"
"1","16","2","0","0","-4","2.6","0.13","0","-4","0","0"
"1","16","3","0","0","-4","2.6","0.13","0","-4","0","0"
"1","16","4","0","0","-4","2.6","0.13","0","-4","0","0"
"1","16","5","0","0","-4","2.7","0.13","0","-4","0","0"
"1","16","6","0","0","-4","2.6","0.13","0","-4","0","0"
"1","16","7","0","0","-4","2.5","0.13","0","-4","0","0"
"1","16","8","407","30","-3","2.5","0.13","147.232","0.101","907.902","844.023"
"1","16","9","701","55","-1","2.4","0.13","401.437","8.078","2947.957","2811.791"
"1","16","10","822","68","0","2.1","0.13","602.211","14.469","4385.261","4198.165"
"1","16","11","880","75","1","1.9","0.13","740.035","19.488","5261.503","5043.359"
"1","16","12","910","75","2","1.6","0.13","800.333","23.301","5593.691","5363.776"
"1","16","13","895","78","3","1.3","0.13","781.142","25.264","5423.979","5200.077"
"1","16","14","864","72","4","1.3","0.13","693.126","23.777","4861.861","4657.878"
"1","16","15","793","62","3","1.1","0.13","530.789","18.918","3808.455","3641.798"
