month,day,hour,pv_energy_gen_kWh
1,1,0,0.0
1,1,0,0.0
1,1,0,0.0
1,1,0,0.0
1,1,1,0.0
1,1,1,0.0
1,1,1,0.0
1,1,1,0.0
1,1,2,0.0
1,1,2,0.0
1,1,2,0.0
1,1,2,0.0
1,1,3,0.0
1,1,3,0.0
1,1,3,0.0
1,1,3,0.0
1,1,4,0.0
1,1,4,0.0
1,1,4,0.0
1,1,4,0.0
1,1,5,0.0
1,1,5,0.0
1,1,5,0.0
1,1,5,0.0
1,1,6,0.0
1,1,6,0.0
1,1,6,0.0
1,1,6,0.0
1,1,7,0.0
1,1,7,0.0
1,1,7,0.0
1,1,7,0.0
1,1,8,0.02524875
1,1,8,0.02524875
1,1,8,0.02524875
1,1,8,0.02524875
1,1,9,0.163578
1,1,9,0.163578
1,1,9,0.163578
1,1,9,0.163578
1,1,10,0.47557499999999997
1,1,10,0.47557499999999997
1,1,10,0.47557499999999997
1,1,10,0.47557499999999997
1,1,11,0.8486880000000001
1,1,11,0.8486880000000001
1,1,11,0.8486880000000001
1,1,11,0.8486880000000001
1,1,12,1.5443906250000001
1,1,12,1.5443906250000001
1,1,12,1.5443906250000001
1,1,12,1.5443906250000001
1,1,13,1.6712295
1,1,13,1.6712295
1,1,13,1.6712295
1,1,13,1.6712295
1,1,14,1.63241625
1,1,14,1.63241625
1,1,14,1.63241625
1,1,14,1.63241625
1,1,15,0.7195335
1,1,15,0.7195335
1,1,15,0.7195335
1,1,15,0.7195335
1,1,16,0.5115989999999999
1,1,16,0.5115989999999999
1,1,16,0.5115989999999999
1,1,16,0.5115989999999999
1,1,17,0.0
1,1,17,0.0
1,1,17,0.0
1,1,17,0.0
1,1,18,0.0
1,1,18,0.0
1,1,18,0.0
1,1,18,0.0
1,1,19,0.0
1,1,19,0.0
1,1,19,0.0
1,1,19,0.0
1,1,20,0.0
1,1,20,0.0
1,1,20,0.0
1,1,20,0.0
1,1,21,0.0
1,1,21,0.0
1,1,21,0.0
1,1,21,0.0
1,1,22,0.0
1,1,22,0.0
1,1,22,0.0
1,1,22,0.0
1,1,23,0.0
1,1,23,0.0
1,1,23,0.0
1,1,23,0.0
1,2,0,0.0
1,2,0,0.0
1,2,0,0.0
1,2,0,0.0
1,2,1,0.0
1,2,1,0.0
1,2,1,0.0
1,2,1,0.0
1,2,2,0.0
1,2,2,0.0
1,2,2,0.0
1,2,2,0.0
1,2,3,0.0
1,2,3,0.0
1,2,3,0.0
1,2,3,0.0
1,2,4,0.0
1,2,4,0.0
1,2,4,0.0
1,2,4,0.0
1,2,5,0.0
1,2,5,0.0
1,2,5,0.0
1,2,5,0.0
1,2,6,0.0
1,2,6,0.0
1,2,6,0.0
1,2,6,0.0
1,2,7,0.0
1,2,7,0.0
1,2,7,0.0
1,2,7,0.0
1,2,8,0.0
1,2,8,0.0
1,2,8,0.0
1,2,8,0.0
1,2,9,0.09541987499999999
1,2,9,0.09541987499999999
1,2,9,0.09541987499999999
1,2,9,0.09541987499999999
1,2,10,0.17371275
1,2,10,0.17371275
1,2,10,0.17371275
1,2,10,0.17371275
1,2,11,0.17408025
1,2,11,0.17408025
1,2,11,0.17408025
1,2,11,0.17408025
1,2,12,0.294413625
1,2,12,0.294413625
1,2,12,0.294413625
1,2,12,0.294413625
1,2,13,0.23196862499999998
1,2,13,0.23196862499999998
1,2,13,0.23196862499999998
1,2,13,0.23196862499999998
1,2,14,0.15924375
1,2,14,0.15924375
1,2,14,0.15924375
1,2,14,0.15924375
1,2,15,0.204352125
1,2,15,0.204352125
1,2,15,0.204352125
1,2,15,0.204352125
1,2,16,0.0626805
1,2,16,0.0626805
1,2,16,0.0626805
1,2,16,0.0626805
1,2,17,0.0
1,2,17,0.0
1,2,17,0.0
1,2,17,0.0
1,2,18,0.0
1,2,18,0.0
1,2,18,0.0
1,2,18,0.0
1,2,19,0.0
1,2,19,0.0
1,2,19,0.0
1,2,19,0.0
1,2,20,0.0
1,2,20,0.0
1,2,20,0.0
1,2,20,0.0
1,2,21,0.0
1,2,21,0.0
1,2,21,0.0
1,2,21,0.0
1,2,22,0.0
1,2,22,0.0
1,2,22,0.0
1,2,22,0.0
1,2,23,0.0
1,2,23,0.0
1,2,23,0.0
1,2,23,0.0
1,3,0,0.0
1,3,0,0.0
