month,day,hour,pv_energy_gen_kWh
1,1,0,0.0
1,1,0,0.0
1,1,0,0.0
1,1,0,0.0
1,1,1,0.0
1,1,1,0.0
1,1,1,0.0
1,1,1,0.0
1,1,2,0.0
1,1,2,0.0
1,1,2,0.0
1,1,2,0.0
1,1,3,0.0
1,1,3,0.0
1,1,3,0.0
1,1,3,0.0
1,1,4,0.0
1,1,4,0.0
1,1,4,0.0
1,1,4,0.0
1,1,5,0.0
1,1,5,0.0
1,1,5,0.0
1,1,5,0.0
1,1,6,0.0
1,1,6,0.0
1,1,6,0.0
1,1,6,0.0
1,1,7,0.0
1,1,7,0.0
1,1,7,0.0
1,1,7,0.0
1,1,8,0.00841625
1,1,8,0.00841625
1,1,8,0.00841625
1,1,8,0.00841625
1,1,9,0.054526000000000005
1,1,9,0.054526000000000005
1,1,9,0.054526000000000005
1,1,9,0.054526000000000005
1,1,10,0.158525
1,1,10,0.158525
1,1,10,0.158525
1,1,10,0.158525
1,1,11,0.28289600000000004
1,1,11,0.28289600000000004
1,1,11,0.28289600000000004
1,1,11,0.28289600000000004
1,1,12,0.514796875
1,1,12,0.514796875
1,1,12,0.514796875
1,1,12,0.514796875
1,1,13,0.5570765
1,1,13,0.5570765
1,1,13,0.5570765
1,1,13,0.5570765
1,1,14,0.54413875
1,1,14,0.54413875
1,1,14,0.54413875
1,1,14,0.54413875
1,1,15,0.23984450000000002
1,1,15,0.23984450000000002
1,1,15,0.23984450000000002
1,1,15,0.23984450000000002
1,1,16,0.170533
1,1,16,0.170533
1,1,16,0.170533
1,1,16,0.170533
1,1,17,0.0
1,1,17,0.0
1,1,17,0.0
1,1,17,0.0
1,1,18,0.0
1,1,18,0.0
1,1,18,0.0
1,1,18,0.0
1,1,19,0.0
1,1,19,0.0
1,1,19,0.0
1,1,19,0.0
1,1,20,0.0
1,1,20,0.0
1,1,20,0.0
1,1,20,0.0
1,1,21,0.0
1,1,21,0.0
1,1,21,0.0
1,1,21,0.0
1,1,22,0.0
1,1,22,0.0
1,1,22,0.0
1,1,22,0.0
1,1,23,0.0
1,1,23,0.0
1,1,23,0.0
1,1,23,0.0
1,2,0,0.0
1,2,0,0.0
1,2,0,0.0
1,2,0,0.0
1,2,1,0.0
1,2,1,0.0
1,2,1,0.0
1,2,1,0.0
1,2,2,0.0
1,2,2,0.0
1,2,2,0.0
1,2,2,0.0
1,2,3,0.0
1,2,3,0.0
1,2,3,0.0
1,2,3,0.0
1,2,4,0.0
1,2,4,0.0
1,2,4,0.0
1,2,4,0.0
1,2,5,0.0
1,2,5,0.0
1,2,5,0.0
1,2,5,0.0
1,2,6,0.0
1,2,6,0.0
1,2,6,0.0
1,2,6,0.0
1,2,7,0.0
1,2,7,0.0
1,2,7,0.0
1,2,7,0.0
1,2,8,0.0
1,2,8,0.0
1,2,8,0.0
1,2,8,0.0
1,2,9,0.031806625
1,2,9,0.031806625
1,2,9,0.031806625
1,2,9,0.031806625
1,2,10,0.05790425
1,2,10,0.05790425
1,2,10,0.05790425
1,2,10,0.05790425
1,2,11,0.05802675
1,2,11,0.05802675
1,2,11,0.05802675
1,2,11,0.05802675
1,2,12,0.098137875
1,2,12,0.098137875
1,2,12,0.098137875
1,2,12,0.098137875
1,2,13,0.077322875
1,2,13,0.077322875
1,2,13,0.077322875
1,2,13,0.077322875
1,2,14,0.053081249999999996
1,2,14,0.053081249999999996
1,2,14,0.053081249999999996
1,2,14,0.053081249999999996
1,2,15,0.068117375
1,2,15,0.068117375
1,2,15,0.068117375
1,2,15,0.068117375
1,2,16,0.0208935
1,2,16,0.0208935
1,2,16,0.0208935
1,2,16,0.0208935
1,2,17,0.0
1,2,17,0.0
1,2,17,0.0
1,2,17,0.0
1,2,18,0.0
1,2,18,0.0
1,2,18,0.0
1,2,18,0.0
1,2,19,0.0
1,2,19,0.0
1,2,19,0.0
1,2,19,0.0
1,2,20,0.0
1,2,20,0.0
1,2,20,0.0
1,2,20,0.0
1,2,21,0.0
1,2,21,0.0
1,2,21,0.0
1,2,21,0.0
1,2,22,0.0
1,2,22,0.0
1,2,22,0.0
1,2,22,0.0
1,2,23,0.0
1,2,23,0.0
1,2,23,0.0
1,2,23,0.0
1,3,0,0.0
1,3,0,0.0
1,3,0,0.0
1,3,0,0.0
1,3,1,0.0
