month,day,hour,home_size,home_id,total_consumption_kwh
1,1,0,large,17858,0.495
1,1,0,large,17858,0.4509
1,1,0,large,17858,0.41
1,1,0,large,17858,0.366
1,1,1,large,17858,0.3711
1,1,1,large,17858,0.3777
1,1,1,large,17858,0.3838
1,1,1,large,17858,0.3895
1,1,2,large,17858,0.4037
1,1,2,large,17858,0.4089
1,1,2,large,17858,0.4136
1,1,2,large,17858,0.4181
1,1,3,large,17858,0.4176
1,1,3,large,17858,0.4187
1,1,3,large,17858,0.4196
1,1,3,large,17858,0.4204
1,1,4,large,17858,0.9273
1,1,4,large,17858,0.732
1,1,4,large,17858,0.4976
1,1,4,large,17858,0.6698
1,1,5,large,17858,0.5947
1,1,5,large,17858,0.5797
1,1,5,large,17858,0.5705
1,1,5,large,17858,0.5635
1,1,6,large,17858,0.5675
1,1,6,large,17858,0.567
1,1,6,large,17858,0.5668
1,1,6,large,17858,0.567
1,1,7,large,17858,0.5654
1,1,7,large,17858,0.563
1,1,7,large,17858,0.561
1,1,7,large,17858,0.559
1,1,8,large,17858,0.5475
1,1,8,large,17858,0.5625
1,1,8,large,17858,0.8997
1,1,8,large,17858,0.5358
1,1,9,large,17858,0.522
1,1,9,large,17858,0.9257
1,1,9,large,17858,0.5009
1,1,9,large,17858,0.4668
1,1,10,large,17858,0.4521
1,1,10,large,17858,0.4401
1,1,10,large,17858,0.426
1,1,10,large,17858,0.4159
1,1,11,large,17858,0.4187
1,1,11,large,17858,0.4212
1,1,11,large,17858,0.4246
1,1,11,large,17858,0.7868
1,1,12,large,17858,0.7878
1,1,12,large,17858,0.6423
1,1,12,large,17858,0.5315
1,1,12,large,17858,0.7431
1,1,13,large,17858,0.4395
1,1,13,large,17858,0.4421
1,1,13,large,17858,0.44
1,1,13,large,17858,0.4405
1,1,14,large,17858,0.4384
1,1,14,large,17858,0.436
1,1,14,large,17858,0.4353
1,1,14,large,17858,0.4352
1,1,15,large,17858,0.4494
1,1,15,large,17858,0.4634
1,1,15,large,17858,0.484
1,1,15,large,17858,0.4979
1,1,16,large,17858,0.5107
1,1,16,large,17858,0.5233
1,1,16,large,17858,0.5376
1,1,16,large,17858,0.5533
1,1,17,large,17858,0.6224
1,1,17,large,17858,0.6253
1,1,17,large,17858,0.6282
1,1,17,large,17858,0.6315
1,1,18,large,17858,0.6328
1,1,18,large,17858,1.0681
1,1,18,large,17858,1.2301
1,1,18,large,17858,0.9563
1,1,19,large,17858,0.3828
1,1,19,large,17858,0.2749
1,1,19,large,17858,0.703
1,1,19,large,17858,0.5493
1,1,20,large,17858,0.6867
1,1,20,large,17858,0.7066
1,1,20,large,17858,0.9831
1,1,20,large,17858,0.6728
1,1,21,large,17858,1.0326
1,1,21,large,17858,0.982
1,1,21,large,17858,0.6845
1,1,21,large,17858,0.9416
1,1,22,large,17858,0.6957
1,1,22,large,17858,0.714
1,1,22,large,17858,1.0368
1,1,22,large,17858,0.7491
1,1,23,large,17858,0.7571
1,1,23,large,17858,1.0332
1,1,23,large,17858,0.7708
1,1,23,large,17858,0.7795
1,2,0,large,17858,0.7818
1,2,0,large,17858,0.7848
1,2,0,large,17858,0.7878
1,2,0,large,17858,0.7907
1,2,1,large,17858,0.793
1,2,1,large,17858,0.7968
1,2,1,large,17858,0.8006
1,2,1,large,17858,0.8042
1,2,2,large,17858,0.8068
1,2,2,large,17858,0.8242
1,2,2,large,17858,0.8439
1,2,2,large,17858,0.8637
1,2,3,large,17858,0.8704
1,2,3,large,17858,0.8778
1,2,3,large,17858,0.8849
1,2,3,large,17858,0.8918
1,2,4,large,17858,4.3445
1,2,4,large,17858,0.5806
1,2,4,large,17858,1.8912
1,2,4,large,17858,1.5091
1,2,5,large,17858,1.4177
1,2,5,large,17858,1.3804
1,2,5,large,17858,1.3502
1,2,5,large,17858,1.3246
1,2,6,large,17858,1.3305
1,2,6,large,17858,1.3602
1,2,6,large,17858,1.3757
1,2,6,large,17858,1.3911
1,2,7,large,17858,1.3888
1,2,7,large,17858,1.5489
1,2,7,large,17858,1.4462
1,2,7,large,17858,1.3318
1,2,8,large,17858,1.3445
1,2,8,large,17858,1.3375
1,2,8,large,17858,1.7182
1,2,8,large,17858,1.3321
1,2,9,large,17858,1.2997
1,2,9,large,17858,1.2676
1,2,9,large,17858,1.2329
1,2,9,large,17858,1.1919
1,2,10,large,17858,1.193
1,2,10,large,17858,1.1946
1,2,10,large,17858,1.4677
1,2,10,large,17858,1.2103
1,2,11,large,17858,1.1888
1,2,11,large,17858,0.7267
1,2,11,large,17858,0.7157
1,2,11,large,17858,0.7046
1,2,12,large,17858,0.9224
1,2,12,large,17858,0.7541
1,2,12,large,17858,0.6849
1,2,12,large,17858,0.6791
1,2,13,large,17858,0.98
1,2,13,large,17858,0.6691
1,2,13,large,17858,0.6648
1,2,13,large,17858,0.6609
1,2,14,large,17858,0.6572
1,2,14,large,17858,0.6534
1,2,14,large,17858,0.6499
1,2,14,large,17858,0.6466
1,2,15,large,17858,0.6411
1,2,15,large,17858,0.6346
1,2,15,large,17858,0.7182
1,2,15,large,17858,0.6696
1,2,16,large,17858,1.5902
1,2,16,large,17858,1.8072
1,2,16,large,17858,1.8006
1,2,16,large,17858,1.7968
1,2,17,large,17858,1.8645
1,2,17,large,17858,1.2919
1,2,17,large,17858,0.6586
1,2,17,large,17858,0.6617
1,2,18,large,17858,0.6598
1,2,18,large,17858,0.665
1,2,18,large,17858,0.6705
1,2,18,large,17858,0.6766
1,2,19,large,17858,0.169
1,2,19,large,17858,0.5775
1,2,19,large,17858,0.9038
1,2,19,large,17858,0.5171
1,2,20,large,17858,0.4425
1,2,20,large,17858,0.5239
1,2,20,large,17858,0.5308
1,2,20,large,17858,0.5369
1,2,21,large,17858,0.8356
1,2,21,large,17858,0.5343
1,2,21,large,17858,0.5384
1,2,21,large,17858,0.542
1,2,22,large,17858,0.5254
1,2,22,large,17858,0.5301
1,2,22,large,17858,0.8419
1,2,22,large,17858,0.5427
1,2,23,large,17858,0.5354
1,2,23,large,17858,0.5615
1,2,23,large,17858,0.6047
1,2,23,large,17858,0.8462
1,3,0,large,17858,0.8179
1,3,0,large,17858,0.8214
1,3,0,large,17858,0.8296
1,3,0,large,17858,0.8391
1,3,1,large,17858,0.8292
1,3,1,large,17858,0.8265
1,3,1,large,17858,0.8366
1,3,1,large,17858,0.8415
1,3,2,large,17858,0.871
1,3,2,large,17858,0.889
1,3,2,large,17858,0.92
1,3,2,large,17858,1.1886
1,3,3,large,17858,0.9803
1,3,3,large,17858,1.0099
1,3,3,large,17858,1.0408
1,3,3,large,17858,1.0727
1,3,4,large,17858,4.3455
1,3,4,large,17858,0.7115
1,3,4,large,17858,2.2352
1,3,4,large,17858,1.9121
1,3,5,large,17858,1.7969
1,3,5,large,17858,1.737
1,3,5,large,17858,1.6934
1,3,5,large,17858,1.6632
1,3,6,large,17858,2.0558
1,3,6,large,17858,2.0638
1,3,6,large,17858,1.7661
1,3,6,large,17858,2.1488
1,3,7,large,17858,1.8468
1,3,7,large,17858,1.8109
1,3,7,large,17858,1.8126
1,3,7,large,17858,1.8143
1,3,8,large,17858,2.1695
1,3,8,large,17858,1.8054
1,3,8,large,17858,1.8003
1,3,8,large,17858,2.0614
1,3,9,large,17858,1.7944
1,3,9,large,17858,1.7944
1,3,9,large,17858,1.793
1,3,9,large,17858,1.8081
1,3,10,large,17858,2.3314
