month,day,hour,home_size,home_id,total_consumption_kwh
1,1,0,large,8876,1.1725
1,1,0,large,8876,1.2814
1,1,0,large,8876,1.3892
1,1,0,large,8876,1.5043
1,1,1,large,8876,1.5128
1,1,1,large,8876,1.5244
1,1,1,large,8876,1.5345
1,1,1,large,8876,1.5473
1,1,2,large,8876,1.5624
1,1,2,large,8876,1.5786
1,1,2,large,8876,1.5947
1,1,2,large,8876,1.6107
1,1,3,large,8876,1.6112
1,1,3,large,8876,1.6152
1,1,3,large,8876,1.6185
1,1,3,large,8876,1.6265
1,1,4,large,8876,1.6375
1,1,4,large,8876,1.6479
1,1,4,large,8876,1.6579
1,1,4,large,8876,1.6674
1,1,5,large,8876,1.742
1,1,5,large,8876,1.7387
1,1,5,large,8876,1.7361
1,1,5,large,8876,1.7341
1,1,6,large,8876,1.6688
1,1,6,large,8876,1.6727
1,1,6,large,8876,1.9199
1,1,6,large,8876,1.6813
1,1,7,large,8876,1.6242
1,1,7,large,8876,2.2704
1,1,7,large,8876,1.5567
1,1,7,large,8876,1.6916
1,1,8,large,8876,1.5176
1,1,8,large,8876,1.4382
1,1,8,large,8876,1.4011
1,1,8,large,8876,1.38
1,1,9,large,8876,1.3979
1,1,9,large,8876,1.3417
1,1,9,large,8876,1.2724
1,1,9,large,8876,1.4621
1,1,10,large,8876,1.125
1,1,10,large,8876,2.5919
1,1,10,large,8876,3.1998
1,1,10,large,8876,2.8771
1,1,11,large,8876,1.9701
1,1,11,large,8876,1.0815
1,1,11,large,8876,1.0993
1,1,11,large,8876,1.1014
1,1,12,large,8876,1.175
1,1,12,large,8876,0.9905
1,1,12,large,8876,0.9005
1,1,12,large,8876,1.1077
1,1,13,large,8876,1.1201
1,1,13,large,8876,0.8149
1,1,13,large,8876,1.2295
1,1,13,large,8876,0.9717
1,1,14,large,8876,0.9412
1,1,14,large,8876,0.8096
1,1,14,large,8876,0.8185
1,1,14,large,8876,0.8232
1,1,15,large,8876,0.8417
1,1,15,large,8876,1.5355
1,1,15,large,8876,1.0461
1,1,15,large,8876,0.9907
1,1,16,large,8876,0.9059
1,1,16,large,8876,1.1068
1,1,16,large,8876,1.0173
1,1,16,large,8876,1.0891
1,1,17,large,8876,1.5193
1,1,17,large,8876,1.0136
1,1,17,large,8876,0.9824
1,1,17,large,8876,1.0021
1,1,18,large,8876,1.3176
1,1,18,large,8876,1.1283
1,1,18,large,8876,1.1499
1,1,18,large,8876,1.1678
1,1,19,large,8876,1.3465
1,1,19,large,8876,1.2904
1,1,19,large,8876,1.5348
1,1,19,large,8876,1.339
1,1,20,large,8876,1.4575
1,1,20,large,8876,1.2035
1,1,20,large,8876,1.2133
1,1,20,large,8876,1.1694
1,1,21,large,8876,1.8246
1,1,21,large,8876,1.1536
1,1,21,large,8876,1.1646
1,1,21,large,8876,1.4569
1,1,22,large,8876,1.3405
1,1,22,large,8876,1.2496
1,1,22,large,8876,1.1396
1,1,22,large,8876,1.3628
1,1,23,large,8876,1.2302
1,1,23,large,8876,1.1457
1,1,23,large,8876,1.4865
1,1,23,large,8876,1.1587
1,2,0,large,8876,1.147
1,2,0,large,8876,1.1466
1,2,0,large,8876,1.1454
1,2,0,large,8876,1.1437
1,2,1,large,8876,1.1414
1,2,1,large,8876,1.1481
1,2,1,large,8876,1.1553
1,2,1,large,8876,1.4414
1,2,2,large,8876,1.1601
1,2,2,large,8876,1.16
1,2,2,large,8876,1.1597
1,2,2,large,8876,1.1591
1,2,3,large,8876,1.1622
1,2,3,large,8876,1.1674
1,2,3,large,8876,1.1726
1,2,3,large,8876,1.1779
1,2,4,large,8876,1.1809
1,2,4,large,8876,1.1833
1,2,4,large,8876,1.1856
1,2,4,large,8876,1.1878
1,2,5,large,8876,1.2511
1,2,5,large,8876,1.257
1,2,5,large,8876,1.258
1,2,5,large,8876,1.2592
1,2,6,large,8876,1.2193
1,2,6,large,8876,1.2209
1,2,6,large,8876,1.2231
1,2,6,large,8876,1.2235
1,2,7,large,8876,1.2281
1,2,7,large,8876,1.2266
1,2,7,large,8876,1.2253
1,2,7,large,8876,1.2224
1,2,8,large,8876,1.222
1,2,8,large,8876,1.2164
1,2,8,large,8876,1.2125
1,2,8,large,8876,1.2089
1,2,9,large,8876,1.2051
1,2,9,large,8876,1.4789
1,2,9,large,8876,1.172
1,2,9,large,8876,1.1417
1,2,10,large,8876,1.3792
1,2,10,large,8876,1.061
1,2,10,large,8876,1.0336
1,2,10,large,8876,1.4215
1,2,11,large,8876,0.99
1,2,11,large,8876,0.9701
1,2,11,large,8876,0.9511
1,2,11,large,8876,0.9322
1,2,12,large,8876,1.4562
1,2,12,large,8876,1.3921
1,2,12,large,8876,1.2663
1,2,12,large,8876,0.8453
1,2,13,large,8876,0.8224
1,2,13,large,8876,0.7836
1,2,13,large,8876,0.767
1,2,13,large,8876,0.7571
1,2,14,large,8876,1.0487
1,2,14,large,8876,0.8153
1,2,14,large,8876,0.7792
1,2,14,large,8876,0.7832
1,2,15,large,8876,0.7896
1,2,15,large,8876,0.7827
1,2,15,large,8876,0.7917
1,2,15,large,8876,0.7916
1,2,16,large,8876,0.8225
1,2,16,large,8876,0.8291
1,2,16,large,8876,0.8377
1,2,16,large,8876,0.8451
1,2,17,large,8876,1.2696
1,2,17,large,8876,0.8731
1,2,17,large,8876,1.1734
1,2,17,large,8876,0.9626
1,2,18,large,8876,1.2772
1,2,18,large,8876,1.0068
1,2,18,large,8876,1.0207
1,2,18,large,8876,0.9824
1,2,19,large,8876,1.1306
1,2,19,large,8876,1.1424
1,2,19,large,8876,1.1552
1,2,19,large,8876,1.4508
1,2,20,large,8876,1.0259
1,2,20,large,8876,1.0443
1,2,20,large,8876,1.2739
1,2,20,large,8876,1.0555
1,2,21,large,8876,1.0115
1,2,21,large,8876,1.0213
1,2,21,large,8876,1.2563
1,2,21,large,8876,1.5305
1,2,22,large,8876,1.1529
1,2,22,large,8876,1.0334
1,2,22,large,8876,1.017
1,2,22,large,8876,1.0282
1,2,23,large,8876,1.0337
1,2,23,large,8876,1.0419
1,2,23,large,8876,1.0495
1,2,23,large,8876,1.0566
1,3,0,large,8876,1.0579
1,3,0,large,8876,1.0645
1,3,0,large,8876,1.071
1,3,0,large,8876,1.0771
1,3,1,large,8876,1.0741
1,3,1,large,8876,1.0771
1,3,1,large,8876,1.0799
1,3,1,large,8876,1.7138
1,3,2,large,8876,1.1133
1,3,2,large,8876,1.0961
1,3,2,large,8876,1.1037
1,3,2,large,8876,1.1116
1,3,3,large,8876,1.1161
1,3,3,large,8876,1.1223
1,3,3,large,8876,1.1283
1,3,3,large,8876,1.1342
1,3,4,large,8876,1.1383
1,3,4,large,8876,1.1399
1,3,4,large,8876,1.1425
1,3,4,large,8876,1.1464
1,3,5,large,8876,1.2125
1,3,5,large,8876,1.2178
1,3,5,large,8876,1.2243
1,3,5,large,8876,1.2321
1,3,6,large,8876,1.1906
1,3,6,large,8876,1.1979
1,3,6,large,8876,1.2057
1,3,6,large,8876,1.6411
1,3,7,large,8876,1.2246
1,3,7,large,8876,1.2298
1,3,7,large,8876,1.6284
1,3,7,large,8876,1.2416
1,3,8,large,8876,1.2569
1,3,8,large,8876,1.2542
1,3,8,large,8876,1.7161
1,3,8,large,8876,1.2497
1,3,9,large,8876,1.2547
1,3,9,large,8876,1.2593
1,3,9,large,8876,1.2642
1,3,9,large,8876,1.2692
1,3,10,large,8876,1.7264
1,3,10,large,8876,1.2554
1,3,10,large,8876,1.2489
1,3,10,large,8876,1.2423
1,3,11,large,8876,1.2486
1,3,11,large,8876,1.2545
1,3,11,large,8876,1.723
1,3,11,large,8876,1.2685
1,3,12,large,8876,1.4357
1,3,12,large,8876,1.4677
1,3,12,large,8876,1.4622
1,3,12,large,8876,1.4598
1,3,13,large,8876,1.4626
1,3,13,large,8876,1.4658
1,3,13,large,8876,1.4704
1,3,13,large,8876,1.3534
1,3,14,large,8876,1.2777
1,3,14,large,8876,1.2853
1,3,14,large,8876,1.977
1,3,14,large,8876,1.2923
1,3,15,large,8876,1.3058
1,3,15,large,8876,1.3065
1,3,15,large,8876,1.3085
1,3,15,large,8876,1.3108
1,3,16,large,8876,1.6898
1,3,16,large,8876,1.3528
1,3,16,large,8876,1.3684
1,3,16,large,8876,1.3843
1,3,17,large,8876,1.403
1,3,17,large,8876,1.4034
1,3,17,large,8876,1.4045
1,3,17,large,8876,2.2587
1,3,18,large,8876,1.6016
1,3,18,large,8876,1.6423
1,3,18,large,8876,1.6293
1,3,18,large,8876,1.5677
1,3,19,large,8876,1.6621
1,3,19,large,8876,1.6721
1,3,19,large,8876,1.6827
1,3,19,large,8876,1.6937
1,3,20,large,8876,1.8808
1,3,20,large,8876,1.5446
1,3,20,large,8876,1.5319
1,3,20,large,8876,1.5398
1,3,21,large,8876,1.5313
1,3,21,large,8876,1.9771
1,3,21,large,8876,1.5106
1,3,21,large,8876,1.5173
1,3,22,large,8876,1.5096
1,3,22,large,8876,1.519
1,3,22,large,8876,1.8096
1,3,22,large,8876,2.111
1,3,23,large,8876,1.5736
1,3,23,large,8876,1.8187
1,3,23,large,8876,1.5449
1,3,23,large,8876,1.5526
1,4,0,large,8876,1.5464
1,4,0,large,8876,1.5517
1,4,0,large,8876,2.1158
1,4,0,large,8876,1.6059
1,4,1,large,8876,1.5513
1,4,1,large,8876,1.5494
1,4,1,large,8876,1.5438
1,4,1,large,8876,1.9844
1,4,2,large,8876,1.5586
1,4,2,large,8876,1.552
1,4,2,large,8876,1.5572
1,4,2,large,8876,1.5623
1,4,3,large,8876,1.5745
1,4,3,large,8876,1.5899
1,4,3,large,8876,1.6049
1,4,3,large,8876,1.6212
1,4,4,large,8876,1.6194
1,4,4,large,8876,1.6179
1,4,4,large,8876,1.6151
1,4,4,large,8876,1.613
1,4,5,large,8876,1.6745
1,4,5,large,8876,1.6665
1,4,5,large,8876,1.6589
1,4,5,large,8876,1.6517
1,4,6,large,8876,1.5987
1,4,6,large,8876,1.7628
1,4,6,large,8876,1.6306
1,4,6,large,8876,1.5949
1,4,7,large,8876,1.6029
1,4,7,large,8876,1.604
1,4,7,large,8876,1.6042
1,4,7,large,8876,1.6041
1,4,8,large,8876,1.6043
1,4,8,large,8876,1.602
1,4,8,large,8876,1.5992
1,4,8,large,8876,1.5969
1,4,9,large,8876,1.5999
1,4,9,large,8876,1.588
1,4,9,large,8876,1.5774
1,4,9,large,8876,1.567
1,4,10,large,8876,1.5477
1,4,10,large,8876,1.9717
1,4,10,large,8876,1.5115
1,4,10,large,8876,1.4944
1,4,11,large,8876,1.9275
1,4,11,large,8876,1.9343
1,4,11,large,8876,1.4561
1,4,11,large,8876,2.0192
1,4,12,large,8876,1.4342
1,4,12,large,8876,1.4259
1,4,12,large,8876,1.4186
1,4,12,large,8876,1.412
1,4,13,large,8876,1.3913
1,4,13,large,8876,1.375
1,4,13,large,8876,1.3581
1,4,13,large,8876,1.3415
1,4,14,large,8876,1.345
1,4,14,large,8876,2.1055
1,4,14,large,8876,1.7566
1,4,14,large,8876,1.333
1,4,15,large,8876,1.3356
1,4,15,large,8876,2.7347
1,4,15,large,8876,3.6902
1,4,15,large,8876,2.0601
1,4,16,large,8876,1.5725
1,4,16,large,8876,1.5431
1,4,16,large,8876,1.4552
1,4,16,large,8876,2.1715
1,4,17,large,8876,2.2234
1,4,17,large,8876,1.3916
1,4,17,large,8876,1.3478
1,4,17,large,8876,1.3484
1,4,18,large,8876,1.3638
1,4,18,large,8876,1.7128
1,4,18,large,8876,1.3603
1,4,18,large,8876,1.8248
1,4,19,large,8876,1.535
1,4,19,large,8876,1.5336
1,4,19,large,8876,1.9711
1,4,19,large,8876,1.613
1,4,20,large,8876,1.5385
1,4,20,large,8876,1.48
1,4,20,large,8876,1.5085
1,4,20,large,8876,1.3523
1,4,21,large,8876,1.7514
1,4,21,large,8876,1.3418
1,4,21,large,8876,1.3081
1,4,21,large,8876,1.3135
1,4,22,large,8876,1.5437
1,4,22,large,8876,1.2934
1,4,22,large,8876,1.2838
1,4,22,large,8876,1.2856
1,4,23,large,8876,1.8249
1,4,23,large,8876,1.3398
1,4,23,large,8876,1.2791
1,4,23,large,8876,1.2791
1,5,0,large,8876,1.2691
1,5,0,large,8876,1.2666
1,5,0,large,8876,1.2659
1,5,0,large,8876,1.267
1,5,1,large,8876,1.2579
1,5,1,large,8876,1.2546
1,5,1,large,8876,1.2511
1,5,1,large,8876,1.2474
1,5,2,large,8876,1.2517
1,5,2,large,8876,1.2563
1,5,2,large,8876,1.2611
1,5,2,large,8876,1.2659
1,5,3,large,8876,1.269
