month,day,hour,home_size,home_id,total_consumption_kwh
1,1,0,small,21898,0.3099
1,1,0,small,21898,0.3385
1,1,0,small,21898,0.361
1,1,0,small,21898,0.3833
1,1,1,small,21898,0.0245
1,1,1,small,21898,0.0585
1,1,1,small,21898,0.2977
1,1,1,small,21898,0.1824
1,1,2,small,21898,0.2173
1,1,2,small,21898,0.2313
1,1,2,small,21898,0.2402
1,1,2,small,21898,0.2472
1,1,3,small,21898,0.2528
1,1,3,small,21898,0.2585
1,1,3,small,21898,0.2636
1,1,3,small,21898,0.2683
1,1,4,small,21898,0.2691
1,1,4,small,21898,0.2703
1,1,4,small,21898,0.2711
1,1,4,small,21898,0.2716
1,1,5,small,21898,0.5113
1,1,5,small,21898,0.2757
1,1,5,small,21898,0.2777
1,1,5,small,21898,0.2797
1,1,6,small,21898,0.2853
1,1,6,small,21898,0.2892
1,1,6,small,21898,0.2933
1,1,6,small,21898,0.2976
1,1,7,small,21898,0.2956
1,1,7,small,21898,0.2903
1,1,7,small,21898,0.285
1,1,7,small,21898,0.2796
1,1,8,small,21898,0.2786
1,1,8,small,21898,0.2764
1,1,8,small,21898,0.2745
1,1,8,small,21898,0.2727
1,1,9,small,21898,0.2669
1,1,9,small,21898,0.2633
1,1,9,small,21898,0.2594
1,1,9,small,21898,0.2553
1,1,10,small,21898,1.3024
1,1,10,small,21898,0.3318
1,1,10,small,21898,0.474
1,1,10,small,21898,0.4316
1,1,11,small,21898,0.3994
1,1,11,small,21898,0.3823
1,1,11,small,21898,0.3707
1,1,11,small,21898,0.3616
1,1,12,small,21898,0.3562
1,1,12,small,21898,0.3518
1,1,12,small,21898,0.3487
1,1,12,small,21898,0.3469
1,1,13,small,21898,0.3406
1,1,13,small,21898,0.3345
1,1,13,small,21898,0.3289
1,1,13,small,21898,0.3238
1,1,14,small,21898,0.3205
1,1,14,small,21898,0.3169
1,1,14,small,21898,0.3135
1,1,14,small,21898,0.3102
1,1,15,small,21898,0.3107
1,1,15,small,21898,0.5488
1,1,15,small,21898,0.3122
1,1,15,small,21898,0.3137
1,1,16,small,21898,0.3146
1,1,16,small,21898,0.3172
1,1,16,small,21898,0.32
1,1,16,small,21898,0.3234
1,1,17,small,21898,0.3239
1,1,17,small,21898,0.3228
1,1,17,small,21898,0.3218
1,1,17,small,21898,0.3211
1,1,18,small,21898,0.3271
1,1,18,small,21898,0.3313
1,1,18,small,21898,0.3365
1,1,18,small,21898,0.3425
1,1,19,small,21898,0.3439
1,1,19,small,21898,0.3472
1,1,19,small,21898,0.3514
1,1,19,small,21898,0.357
1,1,20,small,21898,0.3558
1,1,20,small,21898,0.3533
1,1,20,small,21898,0.588
1,1,20,small,21898,0.3471
1,1,21,small,21898,0.3478
1,1,21,small,21898,0.3507
1,1,21,small,21898,0.3537
1,1,21,small,21898,0.3567
1,1,22,small,21898,0.3581
1,1,22,small,21898,0.3617
1,1,22,small,21898,0.3653
1,1,22,small,21898,0.3692
1,1,23,small,21898,0.3651
1,1,23,small,21898,0.3608
1,1,23,small,21898,0.3566
1,1,23,small,21898,0.3528
1,2,0,small,21898,0.355
1,2,0,small,21898,0.3593
1,2,0,small,21898,0.3648
1,2,0,small,21898,0.3712
1,2,1,small,21898,0.0245
1,2,1,small,21898,0.024
1,2,1,small,21898,0.26
1,2,1,small,21898,0.3974
1,2,2,small,21898,0.1886
1,2,2,small,21898,0.2069
1,2,2,small,21898,0.2196
1,2,2,small,21898,0.2303
1,2,3,small,21898,0.2363
1,2,3,small,21898,0.2415
1,2,3,small,21898,0.2461
1,2,3,small,21898,0.2504
1,2,4,small,21898,0.2563
1,2,4,small,21898,0.2639
1,2,4,small,21898,0.2717
1,2,4,small,21898,0.2797
1,2,5,small,21898,0.2816
1,2,5,small,21898,0.2827
1,2,5,small,21898,0.2833
1,2,5,small,21898,0.2838
1,2,6,small,21898,0.285
1,2,6,small,21898,0.2838
1,2,6,small,21898,0.2827
1,2,6,small,21898,0.5195
1,2,7,small,21898,0.2861
1,2,7,small,21898,0.2893
1,2,7,small,21898,0.2931
1,2,7,small,21898,0.2967
1,2,8,small,21898,0.2997
1,2,8,small,21898,0.3009
1,2,8,small,21898,0.3016
1,2,8,small,21898,0.3019
1,2,9,small,21898,0.2974
1,2,9,small,21898,0.2944
1,2,9,small,21898,0.2908
1,2,9,small,21898,0.2869
1,2,10,small,21898,1.1343
1,2,10,small,21898,0.3669
1,2,10,small,21898,0.5055
1,2,10,small,21898,0.4689
1,2,11,small,21898,0.4408
1,2,11,small,21898,0.4252
1,2,11,small,21898,0.4145
1,2,11,small,21898,0.6434
1,2,12,small,21898,0.3977
1,2,12,small,21898,0.3899
1,2,12,small,21898,0.3831
1,2,12,small,21898,0.3769
1,2,13,small,21898,0.3671
1,2,13,small,21898,0.3572
1,2,13,small,21898,0.3478
1,2,13,small,21898,0.3391
1,2,14,small,21898,0.3286
1,2,14,small,21898,0.3174
1,2,14,small,21898,0.3069
1,2,14,small,21898,0.2974
1,2,15,small,21898,0.2998
1,2,15,small,21898,0.3042
1,2,15,small,21898,0.3101
1,2,15,small,21898,0.317
1,2,16,small,21898,0.322
1,2,16,small,21898,0.3281
1,2,16,small,21898,0.3344
1,2,16,small,21898,0.3414
1,2,17,small,21898,0.5839
1,2,17,small,21898,0.3508
1,2,17,small,21898,0.3551
1,2,17,small,21898,0.3597
1,2,18,small,21898,0.3672
1,2,18,small,21898,0.3721
1,2,18,small,21898,0.3773
1,2,18,small,21898,0.3825
1,2,19,small,21898,0.3816
1,2,19,small,21898,0.3813
1,2,19,small,21898,0.3808
1,2,19,small,21898,0.3803
1,2,20,small,21898,0.3788
1,2,20,small,21898,0.3771
1,2,20,small,21898,0.3756
1,2,20,small,21898,0.3743
1,2,21,small,21898,0.3759
1,2,21,small,21898,0.3799
